Nuclide;Z;N;A;Nuclide
Rn-195;86;109;195;195Rn
Rn-194;86;108;194;194Rn
Rn-193;86;107;193;193Rn
Rn-203;86;117;203;203Rn
Rn-203;86;117;203;203Rn
Rn-203;86;117;203;203Rn
Rn-203;86;117;203;203Rn
Rn-202;86;116;202;202Rn
Rn-202;86;116;202;202Rn
Rn-205;86;119;205;205Rn
Rn-205;86;119;205;205Rn
Rn-204;86;118;204;204Rn
Rn-204;86;118;204;204Rn
Rn-199;86;113;199;199Rn
Rn-199;86;113;199;199Rn
Rn-199;86;113;199;199Rn
Rn-199;86;113;199;199Rn
Rn-198;86;112;198;198Rn
Rn-198;86;112;198;198Rn
Rn-201;86;115;201;201Rn
Rn-201;86;115;201;201Rn
Rn-201;86;115;201;201Rn
Rn-201;86;115;201;201Rn
Rn-200;86;114;200;200Rn
Rn-200;86;114;200;200Rn
Rn-197;86;111;197;197Rn
Rn-197;86;111;197;197Rn
Rn-196;86;110;196;196Rn
Rn-196;86;110;196;196Rn
Fr-226;87;139;226;226Fr
Fr-225;87;138;225;225Fr
Fr-224;87;137;224;224Fr
Fr-219;87;132;219;219Fr
Fr-218;87;131;218;218Fr
Fr-218;87;131;218;218Fr
Fr-218;87;131;218;218Fr
Fr-217;87;130;217;217Fr
Fr-223;87;136;223;223Fr
Fr-223;87;136;223;223Fr
Fr-222;87;135;222;222Fr
Fr-221;87;134;221;221Fr
Fr-221;87;134;221;221Fr
Fr-220;87;133;220;220Fr
Fr-220;87;133;220;220Fr
Fr-216;87;129;216;216Fr
Fr-215;87;128;215;215Fr
Fr-215;87;128;215;215Fr
Fr-215;87;128;215;215Fr
Fr-215;87;128;215;215Fr
Fr-215;87;128;215;215Fr
Fr-214;87;127;214;214Fr
Fr-214;87;127;214;214Fr
Fr-213;87;126;213;213Fr
Fr-213;87;126;213;213Fr
Fr-208;87;121;208;208Fr
Fr-208;87;121;208;208Fr
Fr-207;87;120;207;207Fr
Fr-207;87;120;207;207Fr
Fr-212;87;125;212;212Fr
Fr-212;87;125;212;212Fr
Fr-211;87;124;211;211Fr
Fr-211;87;124;211;211Fr
Fr-210;87;123;210;210Fr
Fr-210;87;123;210;210Fr
Fr-209;87;122;209;209Fr
Fr-209;87;122;209;209Fr
Fr-230;87;143;230;230Fr
Fr-229;87;142;229;229Fr
Fr-228;87;141;228;228Fr
Fr-227;87;140;227;227Fr
Fr-233;87;146;233;233Fr
Fr-233;87;146;233;233Fr
Fr-232;87;145;232;232Fr
Fr-231;87;144;231;231Fr
Fr-205;87;118;205;205Fr
Fr-205;87;118;205;205Fr
Fr-204;87;117;204;204Fr
Fr-204;87;117;204;204Fr
Fr-204;87;117;204;204Fr
Fr-204;87;117;204;204Fr
Fr-204;87;117;204;204Fr
Fr-204;87;117;204;204Fr
Fr-203;87;116;203;203Fr
Fr-202;87;115;202;202Fr
Fr-202;87;115;202;202Fr
Fr-206;87;119;206;206Fr
Fr-206;87;119;206;206Fr
Fr-206;87;119;206;206Fr
Fr-206;87;119;206;206Fr
Fr-206;87;119;206;206Fr
Fr-206;87;119;206;206Fr
Fr-197;87;110;197;197Fr
Fr-201;87;114;201;201Fr
Fr-201;87;114;201;201Fr
Fr-200;87;113;200;200Fr
Fr-199;87;112;199;199Fr
Fr-199;87;112;199;199Fr
Fr-199;87;112;199;199Fr
Fr-198;87;111;198;198Fr
Ra-225;88;137;225;225Ra
Ra-224;88;136;224;224Ra
Ra-224;88;136;224;224Ra
Ra-227;88;139;227;227Ra
Ra-226;88;138;226;226Ra
Ra-226;88;138;226;226Ra
Ra-219;88;131;219;219Ra
Ra-218;88;130;218;218Ra
Ra-221;88;133;221;221Ra
Ra-221;88;133;221;221Ra
Ra-220;88;132;220;220Ra
Ra-223;88;135;223;223Ra
Ra-223;88;135;223;223Ra
Ra-222;88;134;222;222Ra
Ra-222;88;134;222;222Ra
Ra-214;88;126;214;214Ra
Ra-214;88;126;214;214Ra
Ra-213;88;125;213;213Ra
Ra-213;88;125;213;213Ra
Ra-213;88;125;213;213Ra
Ra-213;88;125;213;213Ra
Ra-216;88;128;216;216Ra
Ra-216;88;128;216;216Ra
Ra-215;88;127;215;215Ra
Ra-217;88;129;217;217Ra
Ra-208;88;120;208;208Ra
Ra-208;88;120;208;208Ra
Ra-210;88;122;210;210Ra
Ra-210;88;122;210;210Ra
Ra-209;88;121;209;209Ra
Ra-209;88;121;209;209Ra
Ra-212;88;124;212;212Ra
Ra-212;88;124;212;212Ra
Ra-211;88;123;211;211Ra
Ra-211;88;123;211;211Ra
Ra-235;88;147;235;235Ra
Ra-228;88;140;228;228Ra
Ra-230;88;142;230;230Ra
Ra-229;88;141;229;229Ra
Ra-232;88;144;232;232Ra
Ra-231;88;143;231;231Ra
Ra-234;88;146;234;234Ra
Ra-233;88;145;233;233Ra
Ra-203;88;115;203;203Ra
Ra-203;88;115;203;203Ra
Ra-202;88;114;202;202Ra
Ra-205;88;117;205;205Ra
Ra-205;88;117;205;205Ra
Ra-205;88;117;205;205Ra
Ra-205;88;117;205;205Ra
Ra-204;88;116;204;204Ra
Ra-207;88;119;207;207Ra
Ra-207;88;119;207;207Ra
Ra-207;88;119;207;207Ra
Ra-207;88;119;207;207Ra
Ra-206;88;118;206;206Ra
Ra-201;88;113;201;201Ra
Ra-201;88;113;201;201Ra
Ac-208;89;119;208;208Ac
Ac-208;89;119;208;208Ac
Ac-208;89;119;208;208Ac
Ac-208;89;119;208;208Ac
Ac-207;89;118;207;207Ac
Ac-206;89;117;206;206Ac
Ac-206;89;117;206;206Ac
Ac-205;89;116;205;205Ac
Ac-234;89;145;234;234Ac
Ac-233;89;144;233;233Ac
Ac-232;89;143;232;232Ac
Ac-231;89;142;231;231Ac
Ac-230;89;141;230;230Ac
Ac-230;89;141;230;230Ac
Ac-229;89;140;229;229Ac
Ac-237;89;148;237;237Ac
Ac-236;89;147;236;236Ac
Ac-235;89;146;235;235Ac
Ac-212;89;123;212;212Ac
Ac-212;89;123;212;212Ac
Ac-211;89;122;211;211Ac
Ac-210;89;121;210;210Ac
Ac-209;89;120;209;209Ac
Ac-218;89;129;218;218Ac
Ac-217;89;128;217;217Ac
Ac-217;89;128;217;217Ac
Ac-216;89;127;216;216Ac
Ac-216;89;127;216;216Ac
Ac-215;89;126;215;215Ac
Ac-215;89;126;215;215Ac
Ac-214;89;125;214;214Ac
Ac-214;89;125;214;214Ac
Ac-213;89;124;213;213Ac
Ac-223;89;134;223;223Ac
Ac-223;89;134;223;223Ac
Ac-222;89;133;222;222Ac
Ac-222;89;133;222;222Ac
Ac-222;89;133;222;222Ac
Ac-222;89;133;222;222Ac
Ac-222;89;133;222;222Ac
Ac-221;89;132;221;221Ac
Ac-220;89;131;220;220Ac
Ac-220;89;131;220;220Ac
Ac-219;89;130;219;219Ac
Ac-228;89;139;228;228Ac
Ac-227;89;138;227;227Ac
Ac-227;89;138;227;227Ac
Ac-226;89;137;226;226Ac
Ac-226;89;137;226;226Ac
Ac-226;89;137;226;226Ac
Ac-225;89;136;225;225Ac
Ac-225;89;136;225;225Ac
Ac-224;89;135;224;224Ac
Ac-224;89;135;224;224Ac
Ac-224;89;135;224;224Ac
Th-239;90;149;239;239Th
Th-238;90;148;238;238Th
Th-235;90;145;235;235Th
Th-234;90;144;234;234Th
Th-237;90;147;237;237Th
Th-236;90;146;236;236Th
Th-231;90;141;231;231Th
Th-231;90;141;231;231Th
Th-230;90;140;230;230Th
Th-230;90;140;230;230Th
Th-230;90;140;230;230Th
Th-233;90;143;233;233Th
Th-232;90;142;232;232Th
Th-232;90;142;232;232Th
Th-228;90;138;228;228Th
Th-228;90;138;228;228Th
Th-227;90;137;227;227Th
Th-229;90;139;229;229Th
Th-229;90;139;229;229Th
Th-224;90;134;224;224Th
Th-223;90;133;223;223Th
Th-226;90;136;226;226Th
Th-225;90;135;225;225Th
Th-225;90;135;225;225Th
Th-220;90;130;220;220Th
Th-220;90;130;220;220Th
Th-222;90;132;222;222Th
Th-221;90;131;221;221Th
Th-217;90;127;217;217Th
Th-216;90;126;216;216Th
Th-216;90;126;216;216Th
Th-216;90;126;216;216Th
Th-216;90;126;216;216Th
Th-219;90;129;219;219Th
Th-218;90;128;218;218Th
Th-213;90;123;213;213Th
Th-212;90;122;212;212Th
Th-212;90;122;212;212Th
Th-215;90;125;215;215Th
Th-214;90;124;214;214Th
Th-211;90;121;211;211Th
Th-211;90;121;211;211Th
Th-210;90;120;210;210Th
Th-210;90;120;210;210Th
Th-209;90;119;209;209Th
Th-208;90;118;208;208Th
Pa-211;91;120;211;211Pa
Pa-215;91;124;215;215Pa
Pa-214;91;123;214;214Pa
Pa-213;91;122;213;213Pa
Pa-212;91;121;212;212Pa
Pa-219;91;128;219;219Pa
Pa-218;91;127;218;218Pa
Pa-217;91;126;217;217Pa
Pa-217;91;126;217;217Pa
Pa-217;91;126;217;217Pa
Pa-216;91;125;216;216Pa
Pa-216;91;125;216;216Pa
Pa-220;91;129;220;220Pa
Pa-220;91;129;220;220Pa
Pa-222;91;131;222;222Pa
Pa-221;91;130;221;221Pa
Pa-226;91;135;226;226Pa
Pa-226;91;135;226;226Pa
Pa-225;91;134;225;225Pa
Pa-224;91;133;224;224Pa
Pa-223;91;132;223;223Pa
Pa-230;91;139;230;230Pa
Pa-230;91;139;230;230Pa
Pa-230;91;139;230;230Pa
Pa-229;91;138;229;229Pa
Pa-229;91;138;229;229Pa
Pa-228;91;137;228;228Pa
Pa-228;91;137;228;228Pa
Pa-227;91;136;227;227Pa
Pa-227;91;136;227;227Pa
Pa-233;91;142;233;233Pa
Pa-232;91;141;232;232Pa
Pa-232;91;141;232;232Pa
Pa-231;91;140;231;231Pa
Pa-231;91;140;231;231Pa
Pa-237;91;146;237;237Pa
Pa-236;91;145;236;236Pa
Pa-235;91;144;235;235Pa
Pa-234;91;143;234;234Pa
Pa-234;91;143;234;234Pa
Pa-234;91;143;234;234Pa
Pa-240;91;149;240;240Pa
Pa-239;91;148;239;239Pa
Pa-238;91;147;238;238Pa
Pa-241;91;150;241;241Pa
U-215;92;123;215;215U
U-222;92;130;222;222U
U-224;92;132;224;224U
U-223;92;131;223;223U
U-223;92;131;223;223U
U-226;92;134;226;226U
U-225;92;133;225;225U
U-217;92;125;217;217U
U-216;92;124;216;216U
U-216;92;124;216;216U
U-216;92;124;216;216U
U-219;92;127;219;219U
U-218;92;126;218;218U
U-218;92;126;218;218U
U-221;92;129;221;221U
U-220;92;128;220;220U
U-220;92;128;220;220U
U-233;92;141;233;233U
U-233;92;141;233;233U
U-233;92;141;233;233U
U-233;92;141;233;233U
U-232;92;140;232;232U
U-232;92;140;232;232U
U-232;92;140;232;232U
U-235;92;143;235;235U
U-235;92;143;235;235U
U-235;92;143;235;235U
U-235;92;143;235;235U
U-235;92;143;235;235U
U-235;92;143;235;235U
U-235;92;143;235;235U
U-234;92;142;234;234U
U-234;92;142;234;234U
U-234;92;142;234;234U
U-234;92;142;234;234U
U-237;92;145;237;237U
U-236;92;144;236;236U
U-236;92;144;236;236U
U-228;92;136;228;228U
U-228;92;136;228;228U
U-227;92;135;227;227U
U-230;92;138;230;230U
U-230;92;138;230;230U
U-230;92;138;230;230U
U-229;92;137;229;229U
U-229;92;137;229;229U
U-231;92;139;231;231U
U-231;92;139;231;231U
U-242;92;150;242;242U
U-243;92;151;243;243U
U-239;92;147;239;239U
U-238;92;146;238;238U
U-238;92;146;238;238U
U-238;92;146;238;238U
U-238;92;146;238;238U
U-241;92;149;241;241U
U-240;92;148;240;240U
Np-222;93;129;222;222Np
Np-221;93;128;221;221Np
Np-220;93;127;220;220Np
Np-219;93;126;219;219Np
Np-226;93;133;226;226Np
Np-225;93;132;225;225Np
Np-225;93;132;225;225Np
Np-224;93;131;224;224Np
Np-223;93;130;223;223Np
Np-242;93;149;242;242Np
Np-242;93;149;242;242Np
Np-241;93;148;241;241Np
Np-240;93;147;240;240Np
Np-240;93;147;240;240Np
Np-240;93;147;240;240Np
Np-239;93;146;239;239Np
Np-238;93;145;238;238Np
Np-245;93;152;245;245Np
Np-244;93;151;244;244Np
Np-243;93;150;243;243Np
Np-232;93;139;232;232Np
Np-232;93;139;232;232Np
Np-231;93;138;231;231Np
Np-231;93;138;231;231Np
Np-230;93;137;230;230Np
Np-230;93;137;230;230Np
Np-229;93;136;229;229Np
Np-229;93;136;229;229Np
Np-228;93;135;228;228Np
Np-228;93;135;228;228Np
Np-227;93;134;227;227Np
Np-237;93;144;237;237Np
Np-237;93;144;237;237Np
Np-236;93;143;236;236Np
Np-236;93;143;236;236Np
Np-236;93;143;236;236Np
Np-236;93;143;236;236Np
Np-236;93;143;236;236Np
Np-235;93;142;235;235Np
Np-235;93;142;235;235Np
Np-234;93;141;234;234Np
Np-233;93;140;233;233Np
Np-233;93;140;233;233Np
Pu-224;94;130;224;224Pu
Pu-226;94;132;226;226Pu
Pu-225;94;131;225;225Pu
Pu-221;94;127;221;221Pu
Pu-223;94;129;223;223Pu
Pu-222;94;128;222;222Pu
Pu-246;94;152;246;246Pu
Pu-245;94;151;245;245Pu
Pu-247;94;153;247;247Pu
Pu-244;94;150;244;244Pu
Pu-244;94;150;244;244Pu
Pu-243;94;149;243;243Pu
Pu-242;94;148;242;242Pu
Pu-242;94;148;242;242Pu
Pu-239;94;145;239;239Pu
Pu-239;94;145;239;239Pu
Pu-238;94;144;238;238Pu
Pu-238;94;144;238;238Pu
Pu-241;94;147;241;241Pu
Pu-241;94;147;241;241Pu
Pu-241;94;147;241;241Pu
Pu-240;94;146;240;240Pu
Pu-240;94;146;240;240Pu
Pu-235;94;141;235;235Pu
Pu-235;94;141;235;235Pu
Pu-234;94;140;234;234Pu
Pu-234;94;140;234;234Pu
Pu-237;94;143;237;237Pu
Pu-237;94;143;237;237Pu
Pu-237;94;143;237;237Pu
Pu-236;94;142;236;236Pu
Pu-236;94;142;236;236Pu
Pu-232;94;138;232;232Pu
Pu-232;94;138;232;232Pu
Pu-231;94;137;231;231Pu
Pu-231;94;137;231;231Pu
Pu-233;94;139;233;233Pu
Pu-233;94;139;233;233Pu
Pu-228;94;134;228;228Pu
Pu-227;94;133;227;227Pu
Pu-230;94;136;230;230Pu
Pu-229;94;135;229;229Pu
Pu-229;94;135;229;229Pu
Pu-229;94;135;229;229Pu
Am-230;95;135;230;230Am
Am-229;95;134;229;229Am
Am-228;95;133;228;228Am
Am-227;95;132;227;227Am
Am-234;95;139;234;234Am
Am-234;95;139;234;234Am
Am-233;95;138;233;233Am
Am-233;95;138;233;233Am
Am-232;95;137;232;232Am
Am-232;95;137;232;232Am
Am-231;95;136;231;231Am
Am-231;95;136;231;231Am
Am-237;95;142;237;237Am
Am-237;95;142;237;237Am
Am-236;95;141;236;236Am
Am-236;95;141;236;236Am
Am-236;95;141;236;236Am
Am-236;95;141;236;236Am
Am-235;95;140;235;235Am
Am-235;95;140;235;235Am
Am-241;95;146;241;241Am
Am-241;95;146;241;241Am
Am-240;95;145;240;240Am
Am-240;95;145;240;240Am
Am-240;95;145;240;240Am
Am-239;95;144;239;239Am
Am-239;95;144;239;239Am
Am-238;95;143;238;238Am
Am-238;95;143;238;238Am
Am-244;95;149;244;244Am
Am-244;95;149;244;244Am
Am-244;95;149;244;244Am
Am-244;95;149;244;244Am
Am-243;95;148;243;243Am
Am-243;95;148;243;243Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-242;95;147;242;242Am
Am-248;95;153;248;248Am
Am-247;95;152;247;247Am
Am-246;95;151;246;246Am
Am-246;95;151;246;246Am
Am-246;95;151;246;246Am
Am-245;95;150;245;245Am
Am-223;95;128;223;223Am
Am-224;95;129;224;224Am
Am-226;95;131;226;226Am
Am-225;95;130;225;225Am
Am-249;95;154;249;249Am
Cm-237;96;141;237;237Cm
Cm-237;96;141;237;237Cm
Cm-236;96;140;236;236Cm
Cm-236;96;140;236;236Cm
Cm-232;96;136;232;232Cm
Cm-231;96;135;231;231Cm
Cm-234;96;138;234;234Cm
Cm-234;96;138;234;234Cm
Cm-234;96;138;234;234Cm
Cm-233;96;137;233;233Cm
Cm-233;96;137;233;233Cm
Cm-235;96;139;235;235Cm
Cm-235;96;139;235;235Cm
Cm-246;96;150;246;246Cm
Cm-246;96;150;246;246Cm
Cm-248;96;152;248;248Cm
Cm-248;96;152;248;248Cm
Cm-247;96;151;247;247Cm
Cm-239;96;143;239;239Cm
Cm-239;96;143;239;239Cm
Cm-238;96;142;238;238Cm
Cm-238;96;142;238;238Cm
Cm-238;96;142;238;238Cm
Cm-241;96;145;241;241Cm
Cm-241;96;145;241;241Cm
Cm-240;96;144;240;240Cm
Cm-240;96;144;240;240Cm
Cm-240;96;144;240;240Cm
Cm-243;96;147;243;243Cm
Cm-243;96;147;243;243Cm
Cm-243;96;147;243;243Cm
Cm-242;96;146;242;242Cm
Cm-242;96;146;242;242Cm
Cm-242;96;146;242;242Cm
Cm-245;96;149;245;245Cm
Cm-245;96;149;245;245Cm
Cm-244;96;148;244;244Cm
Cm-244;96;148;244;244Cm
Cm-244;96;148;244;244Cm
Cm-250;96;154;250;250Cm
Cm-250;96;154;250;250Cm
Cm-250;96;154;250;250Cm
Cm-249;96;153;249;249Cm
Cm-252;96;156;252;252Cm
Cm-251;96;155;251;251Cm
Bk-238;97;141;238;238Bk
Bk-238;97;141;238;238Bk
Bk-239;97;142;239;239Bk
Bk-239;97;142;239;239Bk
Bk-239;97;142;239;239Bk
Bk-240;97;143;240;240Bk
Bk-240;97;143;240;240Bk
Bk-241;97;144;241;241Bk
Bk-241;97;144;241;241Bk
Bk-242;97;145;242;242Bk
Bk-243;97;146;243;243Bk
Bk-243;97;146;243;243Bk
Bk-244;97;147;244;244Bk
Bk-244;97;147;244;244Bk
Bk-245;97;148;245;245Bk
Bk-245;97;148;245;245Bk
Bk-246;97;149;246;246Bk
Bk-247;97;150;247;247Bk
Bk-248;97;151;248;248Bk
Bk-248;97;151;248;248Bk
Bk-248;97;151;248;248Bk
Bk-233;97;136;233;233Bk
Bk-234;97;137;234;234Bk
Bk-234;97;137;234;234Bk
Bk-235;97;138;235;235Bk
Bk-235;97;138;235;235Bk
Bk-236;97;139;236;236Bk
Bk-237;97;140;237;237Bk
Bk-237;97;140;237;237Bk
Bk-249;97;152;249;249Bk
Bk-249;97;152;249;249Bk
Bk-249;97;152;249;249Bk
Bk-250;97;153;250;250Bk
Bk-251;97;154;251;251Bk
Bk-252;97;155;252;252Bk
Bk-253;97;156;253;253Bk
Bk-254;97;157;254;254Bk
Cf-246;98;148;246;246Cf
Cf-246;98;148;246;246Cf
Cf-246;98;148;246;246Cf
Cf-246;98;148;246;246Cf
Cf-247;98;149;247;247Cf
Cf-247;98;149;247;247Cf
Cf-244;98;146;244;244Cf
Cf-245;98;147;245;245Cf
Cf-245;98;147;245;245Cf
Cf-242;98;144;242;242Cf
Cf-242;98;144;242;242Cf
Cf-242;98;144;242;242Cf
Cf-243;98;145;243;243Cf
Cf-243;98;145;243;243Cf
Cf-240;98;142;240;240Cf
Cf-240;98;142;240;240Cf
Cf-241;98;143;241;241Cf
Cf-241;98;143;241;241Cf
Cf-238;98;140;238;238Cf
Cf-238;98;140;238;238Cf
Cf-239;98;141;239;239Cf
Cf-239;98;141;239;239Cf
Cf-248;98;150;248;248Cf
Cf-248;98;150;248;248Cf
Cf-237;98;139;237;237Cf
Cf-237;98;139;237;237Cf
Cf-255;98;157;255;255Cf
Cf-256;98;158;256;256Cf
Cf-256;98;158;256;256Cf
Cf-256;98;158;256;256Cf
Cf-253;98;155;253;253Cf
Cf-253;98;155;253;253Cf
Cf-254;98;156;254;254Cf
Cf-254;98;156;254;254Cf
Cf-251;98;153;251;251Cf
Cf-251;98;153;251;251Cf
Cf-252;98;154;252;252Cf
Cf-252;98;154;252;252Cf
Cf-249;98;151;249;249Cf
Cf-249;98;151;249;249Cf
Cf-250;98;152;250;250Cf
Cf-250;98;152;250;250Cf
Es-246;99;147;246;246Es
Es-246;99;147;246;246Es
Es-247;99;148;247;247Es
Es-247;99;148;247;247Es
Es-248;99;149;248;248Es
Es-248;99;149;248;248Es
Es-242;99;143;242;242Es
Es-242;99;143;242;242Es
Es-243;99;144;243;243Es
Es-243;99;144;243;243Es
Es-243;99;144;243;243Es
Es-244;99;145;244;244Es
Es-244;99;145;244;244Es
Es-245;99;146;245;245Es
Es-245;99;146;245;245Es
Es-239;99;140;239;239Es
Es-240;99;141;240;240Es
Es-240;99;141;240;240Es
Es-241;99;142;241;241Es
Es-241;99;142;241;241Es
Es-257;99;158;257;257Es
Es-257;99;158;257;257Es
Es-258;99;159;258;258Es
Es-258;99;159;258;258Es
Es-253;99;154;253;253Es
Es-253;99;154;253;253Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-254;99;155;254;254Es
Es-255;99;156;255;255Es
Es-255;99;156;255;255Es
Es-255;99;156;255;255Es
Es-256;99;157;256;256Es
Es-256;99;157;256;256Es
Es-249;99;150;249;249Es
Es-249;99;150;249;249Es
Es-250;99;151;250;250Es
Es-250;99;151;250;250Es
Es-250;99;151;250;250Es
Es-251;99;152;251;251Es
Es-251;99;152;251;251Es
Es-252;99;153;252;252Es
Es-252;99;153;252;252Es
Fm-241;100;141;241;241Fm
Fm-241;100;141;241;241Fm
Fm-241;100;141;241;241Fm
Fm-245;100;145;245;245Fm
Fm-244;100;144;244;244Fm
Fm-244;100;144;244;244Fm
Fm-244;100;144;244;244Fm
Fm-243;100;143;243;243Fm
Fm-243;100;143;243;243Fm
Fm-243;100;143;243;243Fm
Fm-242;100;142;242;242Fm
Fm-249;100;149;249;249Fm
Fm-249;100;149;249;249Fm
Fm-248;100;148;248;248Fm
Fm-248;100;148;248;248Fm
Fm-248;100;148;248;248Fm
Fm-247;100;147;247;247Fm
Fm-247;100;147;247;247Fm
Fm-247;100;147;247;247Fm
Fm-247;100;147;247;247Fm
Fm-246;100;146;246;246Fm
Fm-246;100;146;246;246Fm
Fm-246;100;146;246;246Fm
Fm-260;100;160;260;260Fm
Fm-252;100;152;252;252Fm
Fm-252;100;152;252;252Fm
Fm-251;100;151;251;251Fm
Fm-251;100;151;251;251Fm
Fm-250;100;150;250;250Fm
Fm-250;100;150;250;250Fm
Fm-250;100;150;250;250Fm
Fm-250;100;150;250;250Fm
Fm-256;100;156;256;256Fm
Fm-256;100;156;256;256Fm
Fm-255;100;155;255;255Fm
Fm-255;100;155;255;255Fm
Fm-254;100;154;254;254Fm
Fm-254;100;154;254;254Fm
Fm-253;100;153;253;253Fm
Fm-253;100;153;253;253Fm
Fm-259;100;159;259;259Fm
Fm-258;100;158;258;258Fm
Fm-257;100;157;257;257Fm
Fm-257;100;157;257;257Fm
Md-252;101;151;252;252Md
Md-251;101;150;251;251Md
Md-251;101;150;251;251Md
Md-254;101;153;254;254Md
Md-254;101;153;254;254Md
Md-253;101;152;253;253Md
Md-253;101;152;253;253Md
Md-256;101;155;256;256Md
Md-256;101;155;256;256Md
Md-256;101;155;256;256Md
Md-255;101;154;255;255Md
Md-255;101;154;255;255Md
Md-258;101;157;258;258Md
Md-258;101;157;258;258Md
Md-258;101;157;258;258Md
Md-258;101;157;258;258Md
Md-257;101;156;257;257Md
Md-257;101;156;257;257Md
Md-257;101;156;257;257Md
Md-260;101;159;260;260Md
Md-260;101;159;260;260Md
Md-260;101;159;260;260Md
Md-260;101;159;260;260Md
Md-259;101;158;259;259Md
Md-259;101;158;259;259Md
Md-261;101;160;261;261Md
Md-262;101;161;262;262Md
Md-262;101;161;262;262Md
Md-245;101;144;245;245Md
Md-245;101;144;245;245Md
Md-245;101;144;245;245Md
Md-245;101;144;245;245Md
Md-244;101;143;244;244Md
Md-247;101;146;247;247Md
Md-247;101;146;247;247Md
Md-247;101;146;247;247Md
Md-247;101;146;247;247Md
Md-246;101;145;246;246Md
Md-246;101;145;246;246Md
Md-246;101;145;246;246Md
Md-246;101;145;246;246Md
Md-246;101;145;246;246Md
Md-249;101;148;249;249Md
Md-249;101;148;249;249Md
Md-249;101;148;249;249Md
Md-248;101;147;248;248Md
Md-248;101;147;248;248Md
Md-250;101;149;250;250Md
Md-250;101;149;250;250Md
No-261;102;159;261;261No
No-260;102;158;260;260No
No-259;102;157;259;259No
No-259;102;157;259;259No
No-259;102;157;259;259No
No-258;102;156;258;258No
No-257;102;155;257;257No
No-257;102;155;257;257No
No-257;102;155;257;257No
No-256;102;154;256;256No
No-256;102;154;256;256No
No-255;102;153;255;255No
No-255;102;153;255;255No
No-254;102;152;254;254No
No-254;102;152;254;254No
No-254;102;152;254;254No
No-254;102;152;254;254No
No-253;102;151;253;253No
No-253;102;151;253;253No
No-252;102;150;252;252No
No-252;102;150;252;252No
No-252;102;150;252;252No
No-252;102;150;252;252No
No-264;102;162;264;264No
No-263;102;161;263;263No
No-263;102;161;263;263No
No-262;102;160;262;262No
No-251;102;149;251;251No
No-251;102;149;251;251No
No-251;102;149;251;251No
No-251;102;149;251;251No
No-250;102;148;250;250No
No-250;102;148;250;250No
No-249;102;147;249;249No
No-248;102;146;248;248No
Lr-262;103;159;262;262Lr
Lr-262;103;159;262;262Lr
Lr-262;103;159;262;262Lr
Lr-261;103;158;261;261Lr
Lr-258;103;155;258;258Lr
Lr-258;103;155;258;258Lr
Lr-257;103;154;257;257Lr
Lr-257;103;154;257;257Lr
Lr-257;103;154;257;257Lr
Lr-260;103;157;260;260Lr
Lr-260;103;157;260;260Lr
Lr-260;103;157;260;260Lr
Lr-259;103;156;259;259Lr
Lr-259;103;156;259;259Lr
Lr-254;103;151;254;254Lr
Lr-254;103;151;254;254Lr
Lr-253;103;150;253;253Lr
Lr-253;103;150;253;253Lr
Lr-253;103;150;253;253Lr
Lr-253;103;150;253;253Lr
Lr-256;103;153;256;256Lr
Lr-256;103;153;256;256Lr
Lr-256;103;153;256;256Lr
Lr-255;103;152;255;255Lr
Lr-255;103;152;255;255Lr
Lr-255;103;152;255;255Lr
Lr-255;103;152;255;255Lr
Lr-255;103;152;255;255Lr
Lr-265;103;162;265;265Lr
Lr-265;103;162;265;265Lr
Lr-264;103;161;264;264Lr
Lr-264;103;161;264;264Lr
Lr-266;103;163;266;266Lr
Lr-263;103;160;263;263Lr
Lr-251;103;148;251;251Lr
Lr-251;103;148;251;251Lr
Lr-252;103;149;252;252Lr
Lr-252;103;149;252;252Lr
Lr-252;103;149;252;252Lr
Rf-268;104;164;268;268Rf
Rf-268;104;164;268;268Rf
Rf-267;104;163;267;267Rf
Rf-266;104;162;266;266Rf
Rf-266;104;162;266;266Rf
Rf-265;104;161;265;265Rf
Rf-264;104;160;264;264Rf
Rf-260;104;156;260;260Rf
Rf-260;104;156;260;260Rf
Rf-259;104;155;259;259Rf
Rf-259;104;155;259;259Rf
Rf-259;104;155;259;259Rf
Rf-258;104;154;258;258Rf
Rf-258;104;154;258;258Rf
Rf-257;104;153;257;257Rf
Rf-257;104;153;257;257Rf
Rf-257;104;153;257;257Rf
Rf-257;104;153;257;257Rf
Rf-257;104;153;257;257Rf
Rf-257;104;153;257;257Rf
Rf-263;104;159;263;263Rf
Rf-263;104;159;263;263Rf
Rf-262;104;158;262;262Rf
Rf-262;104;158;262;262Rf
Rf-261;104;157;261;261Rf
Rf-261;104;157;261;261Rf
Rf-261;104;157;261;261Rf
Rf-256;104;152;256;256Rf
Rf-256;104;152;256;256Rf
Rf-255;104;151;255;255Rf
Rf-255;104;151;255;255Rf
Rf-255;104;151;255;255Rf
